baseFare,reservationCharge,superfastCharge,fuelAmount,totalConcession,tatkalFare,serviceTax,otherCharge,cateringCharge,dynamicFare,totalFare,availability,trainNumber,timeStamp,fromStnCode,toStnCode,classCode,distance,duration
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0025'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,GAR,2A,129,110.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0134'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0189'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,GAR,3A,129,110.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0099'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0053'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,GAR,SL,129,110.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,PPI,1A,178,158.0
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0025'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,PPI,2A,178,158.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0134'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0189'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,PPI,3A,178,158.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0099'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0053'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,PPI,SL,178,158.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0009'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,SGP,1A,196,173.0
1449,60,0,0.0,0,0,76.0,0,0,0,1585,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,SGP,2A,196,173.0
854,50,0,0.0,0,0,46.0,0,0,0,950,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,SGP,3A,196,173.0
598,40,0,0.0,0,0,32.0,0,0,0,670,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,SGP,SL,196,173.0
225,20,0,0.0,0,0,0.0,0,0,0,245,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,ET,1A,246,245.0
1506,60,0,0.0,0,0,79.0,0,0,0,1645,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,ET,2A,246,245.0
888,50,0,0.0,0,0,47.0,0,0,0,985,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,ET,3A,246,245.0
622,40,0,0.0,0,0,33.0,0,0,0,695,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,ET,SL,246,245.0
235,20,0,0.0,0,0,0.0,0,0,0,255,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,NDPM,1A,263,272.0
1535,60,0,0.0,0,0,80.0,0,0,0,1675,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,NDPM,2A,263,272.0
902,50,0,0.0,0,0,48.0,0,0,0,1000,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,NDPM,3A,263,272.0
631,40,0,0.0,0,0,34.0,0,0,0,705,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,NDPM,SL,263,272.0
245,20,0,0.0,0,0,0.0,0,0,0,265,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,RKMP,1A,338,343.0
1563,60,0,0.0,0,0,82.0,0,0,0,1705,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,RKMP,2A,338,343.0
921,50,0,0.0,0,0,49.0,0,0,0,1020,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,RKMP,3A,338,343.0
645,40,0,0.0,0,0,35.0,0,0,0,720,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,RKMP,SL,338,343.0
245,20,0,0.0,0,0,0.0,0,0,0,265,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,BPL,1A,344,360.0
1621,60,0,0.0,0,0,84.0,0,0,0,1765,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,BPL,2A,344,360.0
950,50,0,0.0,0,0,50.0,0,0,0,1050,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,BPL,3A,344,360.0
669,40,0,0.0,0,0,36.0,0,0,0,745,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,BPL,SL,344,360.0
255,20,0,0.0,0,0,0.0,0,0,0,275,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,SHRN,1A,354,405.0
1649,60,0,0.0,0,0,86.0,0,0,0,1795,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,SHRN,2A,354,405.0
969,50,0,0.0,0,0,51.0,0,0,0,1070,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,SHRN,3A,354,405.0
679,40,0,0.0,0,0,36.0,0,0,0,755,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,SHRN,SL,354,405.0
260,20,0,0.0,0,0,0.0,0,0,0,280,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,SEH,1A,383,421.0
1706,60,0,0.0,0,0,89.0,0,0,0,1855,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,SEH,2A,383,421.0
1002,50,0,0.0,0,0,53.0,0,0,0,1105,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0004'}]",11464,2023-10-03 22:13:07.781307,JBP,SEH,3A,383,421.0
698,40,0,0.0,0,0,37.0,0,0,0,775,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0059'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0124'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0082'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0079'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0091'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0077'}]",11464,2023-10-03 22:13:07.781307,JBP,SEH,SL,383,421.0
270,20,0,0.0,0,0,0.0,0,0,0,290,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0030'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0033'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0051'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0013'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0067'}]",11464,2023-10-03 22:13:07.781307,JBP,PRB,1A,397,439.0
1868,60,0,0.0,0,0,97.0,0,0,0,2025,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0002'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0006'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0005'}, {'date': '6-12-2023', 'status': 'GNWL2/WL2'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0010'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0002'}]",11464,2023-10-03 22:13:07.781307,JBP,PRB,2A,397,439.0
